,Lat,Lon,Base,Hour,Day,labels_kmeans,labels_dbscan,labels_agg
187189,40.7658,-73.9884,1,9,6,1,1,1
144301,40.7203,-73.9977,1,19,0,0,1,0
276716,40.7637,-73.9793,2,6,3,1,1,1
453043,40.7386,-73.9875,3,17,3,0,1,1
257875,40.7457,-73.9891,2,11,4,1,1,1
451646,40.7196,-73.9999,3,14,3,0,1,0
352829,40.7912,-73.9773,3,12,4,1,1,1
141175,40.7319,-74.0047,1,7,0,0,1,0
317790,40.6449,-73.7823,2,15,1,2,3,3
215982,40.7611,-73.9793,1,20,2,1,1,1
173666,40.6841,-73.9778,1,21,4,0,1,0
238482,40.7154,-74.0073,2,22,5,0,1,0
355930,40.7524,-73.9842,3,17,4,1,1,1
502315,40.738,-74.0019,3,22,3,0,1,0
382425,40.7234,-73.9985,3,19,0,0,1,0
339127,40.763,-73.8308,3,19,2,4,0,2
466259,40.6753,-73.9734,3,14,5,0,1,0
277938,40.7258,-74.004,2,14,3,0,1,0
280350,40.7347,-73.9998,2,23,3,0,1,0
463814,40.7054,-73.9216,3,23,4,0,1,0
54666,40.7189,-74.0089,1,20,4,0,1,0
327656,40.6721,-73.9392,3,7,1,0,1,0
393534,40.7683,-73.8623,3,11,2,4,1,2
27964,40.7077,-73.9684,0,16,4,0,1,0
151332,40.7777,-73.9887,1,5,2,1,1,1
452272,40.7784,-73.9611,3,15,3,1,1,1
475917,40.647,-73.9751,3,9,0,0,1,0
429401,40.7372,-74.0039,3,10,0,0,1,0
56274,40.7274,-73.9954,1,23,4,0,1,0
135273,40.7277,-73.9819,1,19,5,0,1,0
552429,40.7667,-73.9787,3,20,2,1,1,1
369034,40.7587,-73.9259,3,22,5,1,1,2
320982,40.7779,-73.976,2,8,2,1,1,1
14833,40.6815,-73.9527,0,21,5,0,1,0
193627,40.6462,-73.7897,1,14,0,2,3,3
86701,40.7346,-74.0009,1,23,3,0,1,0
269506,40.7505,-73.991,2,9,1,1,1,1
542410,40.7361,-73.998,3,7,2,0,1,0
506224,40.7421,-74.0046,3,14,4,0,1,0
224720,40.774,-73.9889,2,18,2,1,1,1
152359,40.6761,-74.0125,1,8,2,0,1,0
33291,40.7621,-73.9858,0,22,1,1,1,1
93978,40.7499,-73.9914,1,9,5,1,1,1
327223,40.7718,-73.947,3,6,1,1,1,1
270217,40.7794,-73.9834,2,13,1,1,1,1
279611,40.6821,-73.9479,2,20,3,0,1,0
453688,40.7077,-74.0101,3,18,3,0,1,0
